"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bryce Harper","Nationals","153","654","42","118","99","6","19.0 %","20.0 %",".319",".369",".330",".460",".649",".461","197","3.2","77.5","-8.5","9.5","11579"
"Mike Trout","Angels","159","682","41","104","90","11","13.5 %","23.2 %",".290",".344",".299",".402",".590",".415","172","3.3","60.4","2.1","9.0","10155"
"Josh Donaldson","Blue Jays","158","711","41","122","123","6","10.3 %","18.7 %",".271",".314",".297",".371",".568",".398","154","4.0","48.3","10.7","8.7","5038"
"Paul Goldschmidt","Diamondbacks","159","695","33","103","110","21","17.0 %","21.7 %",".249",".382",".321",".435",".570",".418","164","3.1","55.0","-6.9","7.4","9218"
"Joey Votto","Reds","158","695","29","95","80","11","20.6 %","19.4 %",".228",".371",".314",".459",".541",".427","172","-1.2","57.3","-9.3","7.4","4314"
"Manny Machado","Orioles","162","713","35","102","86","20","9.8 %","15.6 %",".216",".297",".286",".359",".502",".370","134","1.1","29.1","11.2","6.8","11493"
"Yoenis Cespedes","- - -","159","676","35","101","105","7","4.9 %","20.9 %",".251",".323",".291",".328",".542",".367","135","3.4","31.2","10.6","6.7","13110"
"A.J. Pollock","Diamondbacks","157","673","20","111","76","39","7.9 %","13.2 %",".182",".338",".315",".367",".498",".371","132","7.0","32.1","8.7","6.6","9256"
"Lorenzo Cain","Royals","140","604","16","101","72","28","6.1 %","16.2 %",".171",".347",".307",".361",".477",".360","129","6.2","26.2","15.7","6.6","9077"
"Kris Bryant","Cubs","151","650","26","87","99","13","11.8 %","30.6 %",".213",".378",".275",".369",".488",".371","136","7.1","34.3","7.1","6.5","15429"
"Jason Heyward","Cardinals","154","610","13","79","60","23","9.2 %","14.8 %",".146",".329",".293",".359",".439",".346","121","7.0","21.6","16.4","6.0","4940"
"Andrew McCutchen","Pirates","157","685","23","91","96","11","14.3 %","19.4 %",".196",".339",".292",".401",".488",".380","146","-1.1","36.0","-2.5","5.8","9847"
"Buster Posey","Giants","150","623","19","74","95","2","9.0 %","8.3 %",".153",".320",".318",".379",".470",".363","138","-1.8","26.0","8.2","5.7","9166"
"Chris Davis","Orioles","160","670","47","100","117","2","12.5 %","31.0 %",".300",".319",".262",".361",".562",".390","147","-0.5","36.3","-5.5","5.6","9272"
"Kevin Kiermaier","Rays","151","535","10","62","40","18","4.5 %","17.8 %",".156",".306",".263",".298",".420",".309","98","3.5","2.2","32.0","5.5","11038"
"Anthony Rizzo","Cubs","160","701","31","94","101","17","11.1 %","15.0 %",".234",".289",".278",".387",".512",".384","145","1.9","38.6","-8.9","5.5","3473"
"Matt Carpenter","Cardinals","154","665","28","101","84","4","12.2 %","22.7 %",".233",".321",".272",".365",".505",".372","139","1.5","31.6","-3.5","5.2","8090"
"Jason Kipnis","Indians","141","641","9","86","52","12","8.9 %","16.7 %",".149",".356",".303",".372",".451",".355","126","3.4","23.0","4.5","5.2","9776"
"Curtis Granderson","Mets","157","682","26","98","70","11","13.3 %","22.1 %",".198",".305",".259",".364",".457",".357","132","2.5","27.8","-0.7","5.1","4747"
"J.D. Martinez","Tigers","158","657","38","93","102","3","8.1 %","27.1 %",".253",".339",".282",".344",".535",".372","137","-2.2","25.7","-0.1","5.0","6184"
"Matt Duffy","Giants","149","612","12","77","77","12","4.9 %","15.7 %",".133",".336",".295",".334",".428",".331","116","4.4","16.0","11.5","4.9","13836"
"Nelson Cruz","Mariners","152","655","44","90","93","3","9.0 %","25.0 %",".264",".350",".302",".369",".566",".396","158","-2.5","41.5","-17.6","4.8","2434"
"Mookie Betts","Red Sox","145","654","18","92","77","21","7.0 %","12.5 %",".188",".310",".291",".341",".479",".351","119","8.3","22.5","1.3","4.8","13611"
"Brandon Crawford","Giants","143","561","21","65","84","6","7.0 %","21.2 %",".205",".294",".256",".321",".462",".332","117","-1.4","9.5","17.1","4.7","5343"
"Adrian Beltre","Rangers","143","619","18","83","83","1","6.6 %","10.5 %",".166",".295",".287",".334",".453",".337","108","3.9","9.4","13.8","4.6","639"
"Dee Gordon","Marlins","145","653","4","88","46","58","3.8 %","13.9 %",".085",".383",".333",".359",".418",".337","113","4.9","14.6","8.6","4.6","8203"
"Edwin Encarnacion","Blue Jays","146","624","39","94","111","3","12.3 %","15.7 %",".280",".267",".277",".372",".557",".392","150","-2.2","33.6","-11.7","4.5","2151"
"Nolan Arenado","Rockies","157","665","42","97","130","2","5.1 %","16.5 %",".287",".284",".287",".323",".575",".371","119","-0.9","14.1","7.6","4.5","9777"
"Jose Bautista","Blue Jays","153","666","40","108","114","8","16.5 %","15.9 %",".285",".237",".250",".377",".536",".389","147","2.3","38.9","-18.9","4.5","1887"
"Todd Frazier","Reds","157","678","35","82","89","13","6.5 %","20.2 %",".242",".271",".255",".309",".498",".342","114","-0.6","10.7","9.6","4.4","785"
"Miguel Cabrera","Tigers","119","511","18","64","76","1","15.1 %","16.0 %",".196",".384",".338",".440",".534",".413","165","-5.1","33.3","-9.2","4.3","1744"
"Jose Altuve","Astros","154","689","15","86","66","38","4.8 %","9.7 %",".146",".329",".313",".353",".459",".347","120","-3.7","12.4","5.4","4.3","5417"
"Brandon Belt","Giants","137","556","18","73","68","9","10.1 %","26.4 %",".197",".363",".280",".356",".478",".359","135","1.5","24.3","-1.2","4.3","10264"
"Kevin Pillar","Blue Jays","159","628","12","76","56","25","4.5 %","13.5 %",".121",".306",".278",".314",".399",".310","93","8.1","3.2","16.6","4.3","12434"
"Xander Bogaerts","Red Sox","156","654","7","84","81","10","4.9 %","15.4 %",".101",".372",".320",".355",".421",".338","109","3.7","10.8","8.0","4.3","12161"
"Ian Kinsler","Tigers","154","675","11","94","73","10","6.4 %","11.9 %",".131",".323",".296",".342",".428",".335","111","0.6","8.9","8.4","4.2","6195"
"Evan Longoria","Rays","160","670","21","74","73","3","7.6 %","19.7 %",".166",".309",".270",".328",".435",".327","110","1.5","9.1","8.1","4.2","9368"
"Logan Forsythe","Rays","153","615","17","69","68","9","8.9 %","18.0 %",".163",".323",".281",".359",".444",".350","126","-1.7","16.6","1.8","4.1","7185"
"Kyle Seager","Mariners","161","686","26","85","74","6","7.9 %","14.3 %",".185",".278",".266",".328",".451",".335","116","-3.0","9.4","5.0","3.9","9785"
"Odubel Herrera","Phillies","147","537","8","64","41","16","5.2 %","24.0 %",".121",".387",".297",".344",".418",".333","110","2.1","8.3","11.7","3.9","11476"
"Michael Brantley","Indians","137","596","15","68","84","15","10.1 %","8.6 %",".170",".318",".310",".379",".480",".368","135","1.4","25.8","-9.1","3.8","4106"
"Kole Calhoun","Angels","159","686","26","78","83","4","6.6 %","23.9 %",".167",".304",".256",".308",".422",".317","105","3.1","6.9","6.6","3.8","11200"
"Francisco Cervelli","Pirates","130","510","7","56","43","1","9.0 %","18.4 %",".106",".359",".295",".370",".401",".341","119","-0.7","10.7","9.3","3.8","5275"
"Mike Moustakas","Royals","147","614","22","73","82","1","7.0 %","12.4 %",".186",".294",".284",".348",".470",".353","124","-5.4","11.5","3.7","3.8","4892"
"David Peralta","Diamondbacks","149","517","17","61","78","9","8.5 %","20.7 %",".210",".368",".312",".371",".522",".380","138","3.7","26.7","-7.7","3.7","2136"
"Adam Jones","Orioles","137","581","27","74","82","3","4.1 %","17.6 %",".205",".286",".269",".308",".474",".334","109","0.3","6.4","8.8","3.6","6368"
"Adam Eaton","White Sox","153","689","14","98","56","18","8.4 %","19.0 %",".144",".345",".287",".361",".431",".346","118","5.5","20.2","-8.8","3.6","11205"
"Starling Marte","Pirates","153","633","19","84","81","30","4.3 %","19.4 %",".157",".333",".287",".337",".444",".337","117","-1.2","11.3","2.8","3.6","9241"
"Justin Upton","Padres","150","620","26","85","81","19","11.0 %","25.6 %",".203",".304",".251",".336",".454",".340","120","4.6","18.8","-4.6","3.6","5222"
"Eric Hosmer","Royals","158","667","18","98","93","7","9.1 %","16.2 %",".162",".336",".297",".363",".459",".355","125","3.1","22.1","-11.0","3.5","3516"
"Shin-Soo Choo","Rangers","149","653","22","94","82","4","11.6 %","22.5 %",".187",".335",".276",".375",".463",".365","127","1.7","22.1","-10.5","3.5","3174"
