"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Blue Jays","1909","6231","232","891","852","88","9.1 %","18.5 %",".188",".298",".269",".340",".457",".344","117","10.2","131.0","-9.1","34.7"
"Giants","2236","6153","136","696","663","93","7.4 %","18.8 %",".139",".313",".267",".326",".406",".318","107","-0.1","48.7","67.6","32.7"
"Dodgers","2085","6090","187","667","638","59","9.2 %","20.7 %",".163",".292",".250",".326",".413",".322","106","-14.8","27.1","33.5","26.6"
"Cubs","2050","6200","171","689","657","95","9.1 %","24.5 %",".154",".305",".244",".321",".398",".313","96","15.8","-12.2","63.5","25.9"
"Royals","1763","6116","139","724","689","104","6.3 %","15.9 %",".144",".301",".269",".322",".412",".318","99","-0.4","-5.4","38.7","24.9"
"Diamondbacks","2134","6276","154","720","680","132","7.8 %","20.9 %",".150",".316",".264",".324",".414",".319","96","13.2","-15.5","53.8","24.8"
"Mets","2075","6145","177","683","654","51","7.9 %","21.0 %",".156",".287",".244",".312",".400",".309","99","6.4","-1.1","39.7","24.4"
"Astros","1903","6073","230","729","691","121","8.0 %","22.9 %",".187",".292",".250",".315",".437",".325","105","7.7","41.0","-20.9","23.3"
"Cardinals","2208","6139","137","647","619","69","8.2 %","20.6 %",".142",".303",".253",".321",".394",".311","96","0.6","-25.9","46.1","22.4"
"Indians","1816","6109","141","669","640","86","8.7 %","18.9 %",".144",".299",".256",".325",".401",".315","99","9.1","4.7","5.6","22.4"
"Pirates","2134","6285","140","697","661","98","7.3 %","21.0 %",".136",".314",".260",".323",".396",".313","99","2.8","-2.8","12.3","21.8"
"Rangers","1840","6187","172","751","707","101","8.1 %","19.9 %",".156",".300",".257",".325",".413",".321","96","19.1","-8.9","4.4","21.1"
"Tigers","1862","6159","151","689","660","83","7.4 %","20.4 %",".150",".322",".270",".328",".420",".324","103","-27.3","-4.7","-2.5","20.7"
"Rays","1954","6071","167","644","612","87","7.2 %","21.6 %",".154",".300",".252",".314",".406",".313","100","-15.9","-12.8","6.4","20.5"
"Yankees","1972","6268","212","764","737","63","8.8 %","19.6 %",".170",".283",".251",".323",".421",".323","103","2.9","20.9","-35.1","20.4"
"Nationals","1903","6117","177","703","665","57","8.8 %","22.0 %",".151",".300",".251",".321",".403",".315","96","-2.1","-27.5","19.1","19.3"
"Red Sox","1800","6237","161","748","706","71","7.7 %","18.4 %",".149",".305",".265",".325",".415",".321","98","0.9","-14.8","-10.0","19.1"
"Angels","1918","5990","176","661","621","52","7.3 %","19.2 %",".150",".280",".246",".307",".396",".305","96","-0.1","-25.3","0.5","18.3"
"Orioles","1783","6007","217","713","686","44","7.0 %","22.2 %",".171",".291",".250",".307",".421",".315","96","-4.9","-34.3","-6.3","16.7"
"Reds","2066","6196","167","640","613","134","8.0 %","20.3 %",".146",".290",".248",".312",".394",".307","90","11.6","-62.3","20.8","16.1"
"Marlins","2002","5988","120","613","575","112","6.3 %","19.2 %",".124",".307",".260",".310",".384",".302","88","0.2","-85.5","48.0","15.8"
"Mariners","1900","6131","198","656","624","69","7.8 %","21.8 %",".162",".292",".249",".311",".411",".313","100","-22.8","-20.0","-43.7","14.6"
"Athletics","1852","6171","146","694","661","78","7.7 %","18.1 %",".144",".288",".251",".312",".395",".308","96","-0.5","-28.2","-46.6","13.6"
"Padres","1958","6019","148","650","623","82","7.1 %","22.0 %",".142",".292",".243",".300",".385",".298","91","5.0","-61.1","-0.7","13.3"
"Braves","1987","6034","100","573","548","69","7.8 %","18.3 %",".108",".297",".251",".314",".359",".296","85","-2.5","-108.9","40.8","12.7"
"Twins","1855","6017","156","696","661","70","7.3 %","21.0 %",".152",".292",".247",".305",".399",".305","91","-4.4","-70.5","-18.5","11.5"
"Brewers","2005","6024","145","655","624","84","6.8 %","21.6 %",".142",".303",".251",".307",".393",".304","86","2.3","-97.4","9.9","10.6"
"Rockies","2060","6071","186","737","702","97","6.4 %","21.1 %",".167",".313",".265",".315",".432",".321","85","3.7","-105.4","6.7","9.6"
"Phillies","2062","6053","130","626","586","88","6.4 %","21.0 %",".133",".299",".249",".303",".382",".298","86","-1.7","-103.9","-1.7","8.8"
"White Sox","1813","6070","136","622","595","68","6.7 %","20.3 %",".130",".296",".250",".306",".380",".300","86","-15.6","-112.5","-57.9","3.1"
